Team,Count,precentage
New Orleans Pelicans,19,4.15
Memphis Grizzlies,18,3.93
Utah Jazz,16,3.49
New York Knicks,16,3.49
Milwaukee Bucks,16,3.49
Detroit Pistons,15,3.28
Dallas Mavericks,15,3.28
Philadelphia 76ers,15,3.28
Toronto Raptors,15,3.28
Golden State Warriors,15,3.28
Los Angeles Clippers,15,3.28
Los Angeles Lakers,15,3.28
Phoenix Suns,15,3.28
Sacramento Kings,15,3.28
Chicago Bulls,15,3.28
Cleveland Cavaliers,15,3.28
Boston Celtics,15,3.28
Indiana Pacers,15,3.28
Houston Rockets,15,3.28
San Antonio Spurs,15,3.28
Atlanta Hawks,15,3.28
Charlotte Hornets,15,3.28
Miami Heat,15,3.28
Washington Wizards,15,3.28
Denver Nuggets,15,3.28
Oklahoma City Thunder,15,3.28
Portland Trail Blazers,15,3.28
Brooklyn Nets,15,3.28
Orlando Magic,14,3.06
Minnesota Timberwolves,14,3.06
